number,description,createdAt,updatedAt
166,"In battle, it throws punches with all four arms.
The power of each individual blow is piddly,
so it aims to win by quantity rather than quality.","2018-07-18 03:13:55","2018-07-18 03:13:55"
167,"Some fishermen weave its sturdy thread into
nets to catch fish Pokémon.","2018-07-18 02:57:16","2018-07-18 02:57:16"
168,"It spins thread from both its rear and its mouth.
Then it wraps its prey up in thread and sips
their bodily fluids at its leisure.","2018-07-18 02:58:10","2018-07-18 02:58:10"
169,"Silent and swift in its four-winged flight, it bites
down on its prey before they realize what’s
happening. In a heartbeat, it drains their blood.","2018-07-18 03:13:52","2018-07-18 03:13:52"
170,"It lives in the depths beyond the reach of
sunlight. It flashes lights on its antennae
to communicate with others of its kind.","2018-07-18 03:28:22","2018-07-18 03:28:22"
171,"This Pokémon flashes a bright light that blinds
its prey. This creates an opening for it to deliver
an electrical attack.","2018-07-18 03:16:22","2018-07-18 03:16:22"
172,"Despite this Pokémon’s cute appearance, those
who want to live with one should prepare to be
on the receiving end of its electric jolts.","2018-07-18 04:08:31","2018-07-18 04:08:31"
173,"Because of its silhouette, it’s believed to be a
star reborn. For some reason, it loves Minior.","2018-07-18 03:14:40","2018-07-18 03:14:40"
174,"It moves by bouncing along. As it moves a lot,
it sweats, and its body gives off a sweet aroma.","2018-07-18 03:14:56","2018-07-18 03:14:56"
175,"As its energy, Togepi uses the positive emotions of
compassion and pleasure exuded by people and Pokémon.
This Pokémon stores up feelings of happiness inside its shell,
then shares them with others.","2018-07-18 03:01:52","2018-07-18 03:01:52"
176,"Togetic is said to be a Pokémon that brings good fortune.
When the Pokémon spots someone who is pure of heart,
it is said to appear and share its happiness with that person.","2018-07-18 03:27:26","2018-07-18 03:27:26"
177,"Natu has a highly developed jumping ability. The Pokémon
flaps and leaps onto tree branches that are taller than
grown-up people to pick at the tree’s new shoots.","2018-07-18 04:08:24","2018-07-18 04:08:24"
178,"Xatu is known to stand motionless while staring at the sun all
day long. Some people revere it as a mystical Pokémon out of
their belief that Xatu is in possession of the power to see into
the future.","2018-07-18 03:14:07","2018-07-18 03:14:07"
179,"Mareep’s fluffy coat of wool rubs together and builds a static
charge. The more static electricity is charged, the more brightly
the lightbulb at the tip of its tail glows.","2018-07-18 04:08:09","2018-07-18 04:08:09"
180,"Flaaffy’s wool quality changes so that it can generate
a high amount of static electricity with a small amount of
wool. The bare and slick parts of its hide are shielded
against electricity.","2018-07-18 04:08:31","2018-07-18 04:08:31"
181,"Ampharos gives off so much light that it can be seen even from
space. People in the old days used the light of this Pokémon
to send signals back and forth with others far away.","2018-07-18 03:14:15","2018-07-18 03:14:15"
182,"A Bellossom grows flowers more beautifully if it has evolved
from a smelly Gloom—the more stinky the better. At night, this
Pokémon closes its petals and goes to sleep.","2018-07-18 04:08:10","2018-07-18 04:08:10"
183,"When fishing for food at the edge of a fast-running stream,
Marill wraps its tail around the trunk of a tree. This Pokémon’s
tail is flexible and configured to stretch.","2018-07-18 03:50:40","2018-07-18 03:50:40"
184,"Azumarill can make balloons out of air. It makes these air
balloons if it spots a drowning Pokémon. The air balloons
enable the Pokémon in trouble to breathe.","2018-07-18 03:14:57","2018-07-18 03:14:57"
185,"Apparently, the larger the green parts of this
Pokémon, the more collectors value it. It’s a
particular favorite among elderly people.","2018-07-18 03:51:22","2018-07-18 03:51:22"
186,"It’s the leader of Poliwag and Poliwhirl.
When Politoed roars, they all cower in fear.","2018-07-18 03:02:03","2018-07-18 03:02:03"
187,"This Pokémon drifts and floats with the wind. If it senses the
approach of strong winds, Hoppip links its leaves with other
Hoppip to prepare against being blown away.","2018-07-18 02:57:49","2018-07-18 02:57:49"
188,"Skiploom’s flower blossoms when the temperature rises
above 64 degrees Fahrenheit. How much the flower opens
depends on the temperature. For that reason, this Pokémon
is sometimes used as a thermometer.","2018-07-18 03:14:42","2018-07-18 03:14:42"
189,"Jumpluff rides warm southern winds to cross the sea and fly to
foreign lands. The Pokémon descends to the ground when it
encounters cold air while it is floating.","2018-07-18 04:08:32","2018-07-18 04:08:32"
190,"Aipom’s tail ends in a hand-like appendage that can be cleverly
manipulated. However, because the Pokémon uses its tail so
much, its real hands have become rather clumsy.","2018-07-18 03:49:52","2018-07-18 03:49:52"
191,"Sunkern tries to move as little as it possibly can. It does so
because it tries to conserve all the nutrients it has stored in its
body for its evolution. It will not eat a thing, subsisting only on
morning dew.","2018-07-18 03:13:51","2018-07-18 03:13:51"
192,"Sunflora converts solar energy into nutrition. It moves around
actively in the daytime when it is warm. It stops moving as
soon as the sun goes down for the night.","2018-07-18 03:15:14","2018-07-18 03:15:14"
193,"Yanma is capable of seeing 360 degrees without having to
move its eyes. It is a great flier that is adept at making sudden
stops and turning midair. This Pokémon uses its flying ability
to quickly chase down targeted prey.","2018-07-18 04:08:13","2018-07-18 04:08:13"
194,"Wooper usually lives in water. However, it occasionally comes
out onto land in search of food. On land, it coats its body with
a gooey, toxic film.","2018-07-18 03:15:01","2018-07-18 03:15:01"
195,"Quagsire hunts for food by leaving its mouth wide open in
water and waiting for its prey to blunder in unaware. Because
the Pokémon does not move, it does not get very hungry.","2018-07-18 03:27:30","2018-07-18 03:27:30"
196,"It unleashes psychic power from the orb on its
forehead. When its power is exhausted, the orb
grows dull and dark.","2018-07-18 03:13:49","2018-07-18 03:13:49"
197,"With its black fur, it blends into the darkness.
It bides its time, and when prey appears, this
Pokémon goes for its throat, and then eats it.","2018-07-18 03:51:10","2018-07-18 03:51:10"
198,"Seen as a symbol of bad luck, it’s generally
disliked. Yet it gives presents—objects that
sparkle or shine—to Trainers it’s close to.","2018-07-18 03:16:02","2018-07-18 03:16:02"
199,"This Pokémon is so famed for its intellect that a
proverb still persists in some regions: “When in
doubt, ask Slowking.”","2018-07-18 02:57:51","2018-07-18 02:57:51"
200,"If you hear a sobbing sound emanating from a
vacant room, it’s undoubtedly a bit of mischief
from Misdreavus.","2018-07-18 04:08:40","2018-07-18 04:08:40"
201,"This Pokémon is shaped like ancient writing. It is a mystery as
to which came first, the ancient writings or the various Unown.
Research into this topic is ongoing but nothing is known.","2018-07-18 03:15:21","2018-07-18 03:15:21"
202,"Wobbuffet does nothing but endure attacks—it won’t attack on
its own. However, it won’t endure an attack on its tail. When
that happens, the Pokémon will try to take the foe with it using
Destiny Bond.","2018-07-18 03:14:25","2018-07-18 03:14:25"
203,"Girafarig’s rear head contains a tiny brain that is too small for
thinking. However, the rear head doesn’t need to sleep, so it
can keep watch over its surroundings 24 hours a day.","2018-07-18 03:02:07","2018-07-18 03:02:07"
204,"Pineco hangs from a tree branch and patiently waits for prey to
come along. If the Pokémon is disturbed while eating by
someone shaking its tree, it drops down to the ground and
explodes with no warning.","2018-07-18 02:58:22","2018-07-18 02:58:22"
205,"Forretress conceals itself inside its hardened steel shell.
The shell is opened when the Pokémon is catching prey,
but it does so at such a quick pace that the shell’s inside
cannot be seen.","2018-07-18 03:27:27","2018-07-18 03:27:27"
206,"Dunsparce has a drill for its tail. It uses this tail to burrow into
the ground backward. This Pokémon is known to make its
nest in complex shapes deep under the ground.","2018-07-18 03:26:56","2018-07-18 03:26:56"
207,"Gligar glides through the air without a sound as if it were
sliding. This Pokémon hangs on to the face of its foe using
its clawed hind legs and the large pincers on its forelegs, then
injects the prey with its poison barb.","2018-07-18 03:14:09","2018-07-18 03:14:09"
208,"Steelix lives even further underground than Onix.
This Pokémon is known to dig toward the earth’s core.
There are records of this Pokémon reaching a depth of
over six-tenths of a mile underground.","2018-07-18 03:26:47","2018-07-18 03:26:47"
209,"Its growls make its opponents uneasy. This
laid-back Pokémon tends to sleep half the day.","2018-07-18 03:50:58","2018-07-18 03:50:58"
210,"More timid than Snubbull, this Pokémon is doted
on by young people amused at the contrast
between its looks and its attitude.","2018-07-18 02:57:17","2018-07-18 02:57:17"
211,"Qwilfish sucks in water, inflating itself. This Pokémon
uses the pressure of the water it swallowed to shoot toxic
quills all at once from all over its body. It finds swimming
somewhat challenging.","2018-07-18 04:08:12","2018-07-18 04:08:12"
212,"Once it has identified an enemy, this Pokémon
smashes it mercilessly with pincers hard
as steel.","2018-07-18 04:07:57","2018-07-18 04:07:57"
213,"Shuckle quietly hides itself under rocks, keeping its body
concealed inside its hard shell while eating berries it has
stored away. The berries mix with its body fluids to become
a juice.","2018-07-18 03:51:01","2018-07-18 03:51:01"
214,"Heracross has sharp claws on its feet. These are planted
firmly into the ground or the bark of a tree, giving the
Pokémon a secure and solid footing to forcefully fling away
foes with its proud horn.","2018-07-18 03:01:54","2018-07-18 03:01:54"
215,"It uses its claws to poke holes in eggs so it can
slurp out the insides. Breeders consider it a
scourge and will drive it away or eradicate it.","2018-07-18 03:27:51","2018-07-18 03:27:51"
216,"This Pokémon likes to lick its palms that are sweetened by
being soaked in honey. Teddiursa concocts its own honey
by blending fruits and pollen collected by Beedrill.","2018-07-18 04:08:34","2018-07-18 04:08:34"
217,"In the forests inhabited by Ursaring, it is said that there are
many streams and towering trees where they gather food. This
Pokémon walks through its forest gathering food every day.","2018-07-18 04:08:26","2018-07-18 04:08:26"
218,"Slugma does not have any blood in its body. Instead, intensely
hot magma circulates throughout this Pokémon’s body,
carrying essential nutrients and oxygen to its organs.","2018-07-18 04:08:33","2018-07-18 04:08:33"
219,"Magcargo’s body temperature is approximately
18,000 degrees Fahrenheit. Water is vaporized on contact.
If this Pokémon is caught in the rain, the raindrops instantly
turn into steam, cloaking the area in a thick fog.","2018-07-18 03:27:46","2018-07-18 03:27:46"
220,"Swinub roots for food by rubbing its snout against the ground.
Its favorite food is a mushroom that grows under the cover of
dead grass. This Pokémon occasionally roots out hot springs.","2018-07-18 04:08:25","2018-07-18 04:08:25"
221,"Piloswine is covered by a thick coat of long hair that enables
it to endure the freezing cold. This Pokémon uses its tusks to
dig up food that has been buried under ice.","2018-07-18 04:08:16","2018-07-18 04:08:16"
222,"Pursued by Mareanie for the branches on its
head, this Pokémon will sometimes snap its own
branches off as a diversion while it escapes.","2018-07-18 04:08:15","2018-07-18 04:08:15"
223,"Remoraid sucks in water, then expels it at high velocity using
its abdominal muscles to shoot down flying prey. When
evolution draws near, this Pokémon travels downstream
from rivers.","2018-07-18 03:50:08","2018-07-18 03:50:08"
224,"Octillery grabs onto its foe using its tentacles. This Pokémon
tries to immobilize it before delivering the finishing blow. If the
foe turns out to be too strong, Octillery spews ink to escape.","2018-07-18 04:08:13","2018-07-18 04:08:13"
225,"It has a generous habit of sharing its food with
people and Pokémon, so it’s always scrounging
around for more food.","2018-07-18 03:51:17","2018-07-18 03:51:17"
226,"On sunny days, schools of Mantine can be seen elegantly
leaping over the sea’s waves. This Pokémon is not bothered
by the Remoraid that hitches rides.","2018-07-18 03:51:23","2018-07-18 03:51:23"
227,"Its metal body is sturdy, but it does rust rather
easily. So on rainy days, this Pokémon prefers
to stay put in its nest.","2018-07-18 04:08:18","2018-07-18 04:08:18"
228,"Houndour hunt as a coordinated pack. They communicate
with each other using a variety of cries to corner their prey.
This Pokémon’s remarkable teamwork is unparalleled.","2018-07-18 04:08:43","2018-07-18 04:08:43"
229,"In a Houndoom pack, the one with its horns raked sharply
toward the back serves a leadership role. These Pokémon
choose their leader by fighting among themselves.","2018-07-18 04:08:37","2018-07-18 04:08:37"
230,"Kingdra sleeps on the seafloor where it is otherwise devoid
of life. When a storm arrives, the Pokémon is said to awaken
and wander about in search of prey.","2018-07-18 04:08:35","2018-07-18 04:08:35"
231,"Phanpy uses its long nose to shower itself. When others
gather around, they thoroughly douse each other with water.
These Pokémon can be seen drying their soaking-wet
bodies at the edge of water.","2018-07-18 03:27:06","2018-07-18 03:27:06"
232,"If Donphan were to tackle with its hard body, even a house
could be destroyed. Using its massive strength, the Pokémon
helps clear rock and mud slides that block mountain trails.","2018-07-18 03:27:35","2018-07-18 03:27:35"
233,"Porygon was updated to a new version in
readiness for planetary development. But that
dream remains unrealized as yet.","2018-07-18 04:08:37","2018-07-18 04:08:37"
234,"Stantler’s magnificent antlers were traded at high prices as
works of art. As a result, this Pokémon was hunted close to
extinction by those who were after the priceless antlers.","2018-07-18 04:08:21","2018-07-18 04:08:21"
235,"It draws symbols all over the place to mark its
territory. In towns with many Smeargle, the walls
are covered in graffiti.","2018-07-18 03:50:33","2018-07-18 03:50:33"
236,"Tyrogue becomes stressed out if it does not get to train every
day. When raising this Pokémon, the Trainer must establish
and uphold various training methods.","2018-07-18 03:50:46","2018-07-18 03:50:46"
237,"Hitmontop spins on its head at high speed, all the while
delivering kicks. This technique is a remarkable mix of both
offense and defense at the same time. The Pokémon travels
faster spinning than it does walking.","2018-07-18 04:08:42","2018-07-18 04:08:42"
238,"Smoochum actively runs about, but also falls quite often.
Whenever the chance arrives, it will look for its reflection to
make sure its face hasn’t become dirty.","2018-07-18 03:51:18","2018-07-18 03:51:18"
239,"This Pokémon is constantly fighting with
Togedemaru that try to steal its electricity.
It’s a pretty even match.","2018-07-18 03:15:41","2018-07-18 03:15:41"
240,"A famous potter lives with a Magby.
Apparently its soft flames produce fine works.","2018-07-18 03:27:24","2018-07-18 03:27:24"
241,"Most people raise it for its milk, but it’s quite
tough and strong, so it’s also well suited
for battle.","2018-07-18 03:51:02","2018-07-18 03:51:02"
242,"Its fluffy fur coat acts as a sensor, enabling it to
read the feelings of people and Pokémon.","2018-07-18 04:08:46","2018-07-18 04:08:46"
243,"Raikou embodies the speed of lightning. The roars of
this Pokémon send shock waves shuddering through the
air and shake the ground as if lightning bolts had come
crashing down.","2018-07-18 04:08:22","2018-07-18 04:08:22"
244,"Entei embodies the passion of magma. This Pokémon is
thought to have been born in the eruption of a volcano.
It sends up massive bursts of fire that utterly consume all
that they touch.","2018-07-18 03:51:25","2018-07-18 03:51:25"
245,"Suicune embodies the compassion of a pure spring of water.
It runs across the land with gracefulness. This Pokémon has
the power to purify dirty water.","2018-07-18 03:50:42","2018-07-18 03:50:42"
246,"Larvitar is born deep under the ground. To come up to the
surface, this Pokémon must eat its way through the soil above.
Until it does so, Larvitar cannot see its parents.","2018-07-18 03:27:04","2018-07-18 03:27:04"
247,"Pupitar creates a gas inside its body that it compresses and
forcefully ejects to propel itself like a jet. The body is very
durable—it avoids damage even if it hits solid steel.","2018-07-18 03:15:55","2018-07-18 03:15:55"
248,"Tyranitar is so overwhelmingly powerful, it can bring down a
whole mountain to make its nest. This Pokémon wanders about
in mountains seeking new opponents to fight.","2018-07-18 03:03:18","2018-07-18 03:03:18"
249,"Lugia’s wings pack devastating power—a light fluttering of its
wings can blow apart regular houses. As a result, this
Pokémon chooses to live out of sight deep under the sea.","2018-07-18 04:08:27","2018-07-18 04:08:27"
250,"Ho-Oh’s feathers glow in seven colors depending on the angle
at which they are struck by light. These feathers are said to
bring happiness to the bearers. This Pokémon is said to live at
the foot of a rainbow.","2018-07-18 03:15:43","2018-07-18 03:15:43"
251,"This Pokémon came from the future by crossing over time.
It is thought that so long as Celebi appears, a bright and
shining future awaits us.","2018-07-18 03:50:00","2018-07-18 03:50:00"
252,"Treecko is cool, calm, and collected—it never panics under
any situation. If a bigger foe were to glare at this Pokémon,
it would glare right back without conceding an inch of ground.","2018-07-18 03:15:57","2018-07-18 03:15:57"
253,"This Pokémon adeptly flies from branch to branch in trees.
In a forest, no Pokémon can ever hope to catch a fleeing
Grovyle however fast they may be.","2018-07-18 03:50:39","2018-07-18 03:50:39"
254,"Sceptile has seeds growing on its back. They are said to be
bursting with nutrients that revitalize trees. This Pokémon
raises the trees in a forest with loving care.","2018-07-18 03:16:13","2018-07-18 03:16:13"
255,"Torchic has a place inside its body where it keeps its flame.
Give it a hug—it will be glowing with warmth. This Pokémon is
covered all over by a fluffy coat of down.","2018-07-18 03:50:36","2018-07-18 03:50:36"
256,"Combusken battles with the intensely hot flames it spews from
its beak and with outstandingly destructive kicks. This
Pokémon’s cry is very loud and distracting.","2018-07-18 03:02:40","2018-07-18 03:02:40"
257,"Blaziken has incredibly strong legs—it can easily clear a
30-story building in one leap. This Pokémon’s blazing punches
leave its foes scorched and blackened.","2018-07-18 04:08:19","2018-07-18 04:08:19"
258,"In water, Mudkip breathes using the gills on its cheeks. If it is
faced with a tight situation in battle, this Pokémon will unleash
its amazing power—it can crush rocks bigger than itself.","2018-07-18 02:57:40","2018-07-18 02:57:40"
259,"Marshtomp is much faster at traveling through mud than it is at
swimming. This Pokémon’s hindquarters exhibit obvious
development, giving it the ability to walk on just its hind legs.","2018-07-18 03:49:48","2018-07-18 03:49:48"
260,"Swampert predicts storms by sensing subtle differences in the
sounds of waves and tidal winds with its fins. If a storm is
approaching, it piles up boulders to protect itself.","2018-07-18 03:50:52","2018-07-18 03:50:52"
261,"Poochyena is an omnivore—it will eat anything. A distinguishing
feature is how large its fangs are compared to its body. This
Pokémon tries to intimidate its foes by making the hair on its
tail bristle out.","2018-07-18 04:08:44","2018-07-18 04:08:44"
262,"Mightyena travel and act as a pack in the wild. The memory
of its life in the wild compels the Pokémon to obey only
those Trainers that it recognizes to possess superior skill.","2018-07-18 03:51:07","2018-07-18 03:51:07"
263,"The hair on Zigzagoon’s back is bristly. It rubs the hard back
hair against trees to leave its territorial markings. This Pokémon
may play dead to fool foes in battle.","2018-07-18 02:57:19","2018-07-18 02:57:19"
264,"When hunting, Linoone will make a beeline straight for the
prey at a full run. While this Pokémon is capable of topping
60 mph, it has to come to a screeching halt before it can turn.","2018-07-18 03:49:56","2018-07-18 03:49:56"
265,"Wurmple is targeted by Swellow as prey. This Pokémon
will try to resist by pointing the spikes on its rear at the
attacking predator. It will weaken the foe by leaking poison
from the spikes.","2018-07-18 03:26:38","2018-07-18 03:26:38"
266,"Silcoon was thought to endure hunger and not consume
anything before its evolution. However, it is now thought
that this Pokémon slakes its thirst by drinking rainwater
that collects on its silk.","2018-07-18 03:27:02","2018-07-18 03:27:02"
267,"Beautifly has a long mouth like a coiled needle, which is very
convenient for collecting pollen from flowers. This Pokémon
rides the spring winds as it flits around gathering pollen.","2018-07-18 03:51:24","2018-07-18 03:51:24"
268,"If it is attacked, Cascoon remains motionless however badly it
may be hurt. It does so because if it were to move, its body
would be weak upon evolution. This Pokémon will also not
forget the pain it endured.","2018-07-18 03:49:45","2018-07-18 03:49:45"
269,"When Dustox flaps its wings, a fine dust is scattered all over.
This dust is actually a powerful poison that will even make a
pro wrestler sick. This Pokémon searches for food using its
antennae like radar.","2018-07-18 03:49:20","2018-07-18 03:49:20"
270,"Lotad is said to have dwelled on land before. However, this
Pokémon is thought to have returned to water because the
leaf on its head grew large and heavy. It now lives by floating
atop the water.","2018-07-18 03:50:17","2018-07-18 03:50:17"
271,"Lombre’s entire body is covered by a slippery, slimy film.
It feels horribly unpleasant to be touched by this Pokémon’s
hands. Lombre is often mistaken for a human child.","2018-07-18 03:49:40","2018-07-18 03:49:40"
272,"Upon hearing an upbeat and cheerful rhythm, the cells in
Ludicolo’s body become very energetic and active. Even
in battle, this Pokémon will exhibit an amazing amount
of power.","2018-07-18 04:08:23","2018-07-18 04:08:23"
273,"Seedot looks exactly like an acorn when it is dangling from a
tree branch. It startles other Pokémon by suddenly moving.
This Pokémon polishes its body once a day using leaves.","2018-07-18 04:08:48","2018-07-18 04:08:48"
274,"This Pokémon pulls out the leaf on its head and makes a flute
with it. The sound of Nuzleaf’s flute strikes fear and uncertainty
in the hearts of people lost in a forest.","2018-07-18 03:16:22","2018-07-18 03:16:22"
275,"Shiftry’s large fans generate awesome gusts of wind at a
speed close to 100 feet per second. The whipped-up wind
blows anything away. This Pokémon chooses to live quietly
deep in forests.","2018-07-18 03:27:33","2018-07-18 03:27:33"
276,"Taillow is young—it has only just left its nest. As a result,
it sometimes becomes lonesome and cries at night.
This Pokémon feeds on Wurmple that live in forests.","2018-07-18 04:08:29","2018-07-18 04:08:29"
277,"Swellow is very conscientious about the upkeep of its glossy
wings. Once two Swellow are gathered, they diligently take
care of cleaning each other’s wings.","2018-07-18 03:49:41","2018-07-18 03:49:41"
278,"Fishermen keep an eye out for Wingull in the
sky, because wherever they’re circling, the
ocean is sure to be teeming with fish Pokémon.","2018-07-18 04:08:52","2018-07-18 04:08:52"
279,"Gathering food is the work of young males.
They store food in their capacious beaks and
carry it back to others waiting in the nest.","2018-07-18 03:51:30","2018-07-18 03:51:30"
280,"Ralts has the ability to sense the emotions of people. If its
Trainer is in a cheerful mood, this Pokémon grows cheerful
and joyous in the same way.","2018-07-18 03:14:46","2018-07-18 03:14:46"
281,"Kirlia uses the horns on its head to amplify its psychokinetic
power. When the Pokémon uses its power, the air around it
becomes distorted, creating mirages of nonexistent scenery.","2018-07-18 02:58:18","2018-07-18 02:58:18"
282,"Gardevoir has the psychokinetic power to distort the
dimensions and create a small black hole. This Pokémon
will try to protect its Trainer even at the risk of its own life.","2018-07-18 03:50:35","2018-07-18 03:50:35"
283,"When this Pokémon senses danger, a sweet
fluid oozes from the tip of its head. The taste
of it disgusts bird Pokémon.","2018-07-18 03:15:10","2018-07-18 03:15:10"
284,"Its wings and antennae don’t cope well with
moisture. After a rain, it faces sunward to
dry off.","2018-07-18 03:50:49","2018-07-18 03:50:49"
285,"If Shroomish senses danger, it shakes its body and scatters
spores from the top of its head. This Pokémon’s spores are
so toxic, they make trees and weeds wilt.","2018-07-18 04:08:54","2018-07-18 04:08:54"
286,"The seeds ringing Breloom’s tail are made of hardened toxic
spores. It is horrible to eat the seeds. Just taking a bite of this
Pokémon’s seed will cause your stomach to rumble.","2018-07-18 04:08:50","2018-07-18 04:08:50"
287,"Slakoth’s heart beats just once a minute. Whatever happens,
it is content to loaf around motionless. It is rare to see this
Pokémon in motion.","2018-07-18 03:02:11","2018-07-18 03:02:11"
288,"Vigoroth is simply incapable of remaining still. Even when it
tries to sleep, the blood in its veins grows agitated, compelling
this Pokémon to run wild throughout the jungle before it can
settle down.","2018-07-18 04:08:30","2018-07-18 04:08:30"
289,"Wherever Slaking live, rings of over a yard in diameter appear
in grassy fields. They are made by the Pokémon as it eats all
the grass within reach while lying prone on the ground.","2018-07-18 03:50:54","2018-07-18 03:50:54"
290,"Nincada lives underground. It uses its sharp claws to carve the
roots of trees and absorb moisture and nutrients.
This Pokémon can’t withstand bright sunlight so avoids it.","2018-07-18 04:08:50","2018-07-18 04:08:50"
291,"If Ninjask is not trained properly, it will refuse to obey
the Trainer and cry loudly continuously. Because of this
quality, this Pokémon is said to be one that puts the
Trainer’s abilities to the test.","2018-07-18 03:14:18","2018-07-18 03:14:18"
292,"Shedinja is a peculiar Pokémon. It seems to appear unsought
in a Poké Ball after a Nincada evolves. This bizarre Pokémon
is entirely immobile—it doesn’t even breathe.","2018-07-18 03:49:37","2018-07-18 03:49:37"
293,"Whismur is very timid. If it starts to cry loudly, it becomes
startled by its own crying and cries even harder. When it finally
stops crying, the Pokémon goes to sleep, all tired out.","2018-07-18 03:49:40","2018-07-18 03:49:40"
294,"Loudred shouts while stamping its feet. After it finishes
shouting, this Pokémon becomes incapable of hearing
anything for a while. This is considered to be a weak point.","2018-07-18 03:02:41","2018-07-18 03:02:41"
295,"Exploud communicates its feelings to the others by emitting
whistle-like sounds from the tubes on its body. This Pokémon
only raises its voice when it is in battle.","2018-07-18 04:08:28","2018-07-18 04:08:28"
296,"Their daily routine consists of training together
first thing in the morning, eating and napping in
the afternoon, and then more training afterward.","2018-07-18 03:27:20","2018-07-18 03:27:20"
297,"They love to compare their freakish strength—
strength enough to send a truck flying with a
single slap.","2018-07-18 03:14:03","2018-07-18 03:14:03"
298,"Azurill’s tail is large and bouncy. It is packed full of the
nutrients this Pokémon needs to grow. Azurill can be seen
bouncing and playing on its big, rubbery tail.","2018-07-18 04:11:06","2018-07-18 04:11:06"
299,"It uses powerful magnetism to drag its prey
toward it. It’s also been known to pull in metal,
which it collects and uses to protect itself.","2018-07-18 04:10:18","2018-07-18 04:10:18"
300,"Skitty is known to chase around playfully after its own tail.
In the wild, this Pokémon lives in holes in the trees of forests.
It is very popular as a pet because of its adorable looks.","2018-07-18 03:50:51","2018-07-18 03:50:51"
301,"Delcatty sleeps anywhere it wants without keeping a permanent
nest. If other Pokémon approach it as it sleeps, this Pokémon
will never fight—it will just move away somewhere else.","2018-07-18 04:10:19","2018-07-18 04:10:19"
302,"This Pokémon is feared. When its gemstone eyes
begin to glow with a sinister shine, it’s believed
that Sableye will steal people’s spirits away.","2018-07-18 03:26:37","2018-07-18 03:26:37"
303,"Don’t be taken in by this Pokémon’s cute face—it’s very
dangerous. Mawile fools the foe into letting down its guard,
then chomps down with its massive jaws. The steel jaws are
really horns that have been transformed.","2018-07-18 03:50:32","2018-07-18 03:50:32"
304,"Aron has a body of steel. With one all-out charge, this
Pokémon can demolish even a heavy dump truck.
The destroyed dump truck then becomes a handy meal
for the Pokémon.","2018-07-18 04:08:53","2018-07-18 04:08:53"
305,"Lairon feeds on iron contained in rocks and water. It makes
its nest on mountains where iron ore is buried. As a result,
the Pokémon often clashes with humans mining the iron ore.","2018-07-18 03:02:03","2018-07-18 03:02:03"
306,"Aggron is protective of its environment. If its mountain is
ravaged by a landslide or a fire, this Pokémon will haul
topsoil to the area, plant trees, and beautifully restore its
own territory.","2018-07-18 03:01:57","2018-07-18 03:01:57"
307,"Meditite heightens its inner energy through meditation.
It survives on just one berry a day. Minimal eating is another
aspect of this Pokémon’s training.","2018-07-18 03:51:04","2018-07-18 03:51:04"
308,"Through the power of meditation, Medicham developed its
sixth sense. It gained the ability to use psychokinetic powers.
This Pokémon is known to meditate for a whole month
without eating.","2018-07-18 03:27:45","2018-07-18 03:27:45"
309,"Electrike runs faster than the human eye can follow.
The friction from running is converted into electricity,
which is then stored in this Pokémon’s fur.","2018-07-18 03:27:03","2018-07-18 03:27:03"
310,"Manectric discharges strong electricity from its mane.
The mane is used for collecting electricity in the atmosphere.
This Pokémon creates thunderclouds above its head.","2018-07-18 04:11:03","2018-07-18 04:11:03"
311,"When Plusle is cheering on its partner, it flashes with electric
sparks from all over its body. If its partner loses, this Pokémon
cries loudly.","2018-07-18 04:11:03","2018-07-18 04:11:03"
312,"Minun loves to cheer on its partner in battle. It gives off sparks
from its body while it is doing so. If its partner is in trouble,
this Pokémon gives off increasing amounts of sparks.","2018-07-18 03:50:36","2018-07-18 03:50:36"
313,"Volbeat’s tail glows like a lightbulb. With other Volbeat,
it uses its tail to draw geometric shapes in the night sky.
This Pokémon loves the sweet aroma given off by Illumise.","2018-07-18 03:26:42","2018-07-18 03:26:42"
314,"Illumise leads a flight of illuminated Volbeat to draw signs in
the night sky. This Pokémon is said to earn greater respect
from its peers by composing more complex designs in the sky.","2018-07-18 03:02:00","2018-07-18 03:02:00"
315,"On extremely rare occasions, a Roselia is said to appear with
its flowers in unusual colors. The thorns on this Pokémon’s
head contain a vicious poison.","2018-07-18 03:02:09","2018-07-18 03:02:09"
316,"Most of Gulpin’s body is made up of its stomach—its heart and
brain are very small in comparison. This Pokémon’s stomach
contains special enzymes that dissolve anything.","2018-07-18 03:50:53","2018-07-18 03:50:53"
317,"Swalot has no teeth, so what it eats, it swallows whole, no
matter what. Its cavernous mouth yawns widely. An automobile
tire could easily fit inside this Pokémon’s mouth.","2018-07-18 03:26:51","2018-07-18 03:26:51"
318,"If they scent the faintest trace of blood, they
rush to attack en masse. When alone, they’re
rather cowardly.","2018-07-18 04:10:22","2018-07-18 04:10:22"
319,"It has a sad history. In the past, its dorsal fin
was a treasured foodstuff, so this Pokémon
became a victim of overfishing.","2018-07-18 03:49:59","2018-07-18 03:49:59"
320,"It shows off by spraying jets of seawater from
the nostrils above its eyes. It eats a solid ton of
Wishiwashi every day.","2018-07-18 03:27:15","2018-07-18 03:27:15"
321,"Its immense size is the reason for its popularity.
Wailord watching is a favorite sightseeing
activity in various parts of the world.","2018-07-18 04:08:39","2018-07-18 04:08:39"
